,Feature,POS,KiC,SiC,PeiC,ZiC,Di_Freq,Sum_Zjc,Di_Uniq,DBDi,SenticNet
0,recently,RB,28,52,0.5384615384615384,196,0.00035339894052440076,410,0.47804878048780486,0.00016894193254337207,-0.93
1,buy,VBD,-191,887,-0.2153325817361894,4457,0.008036219785292113,7842,0.5683499107370569,0.004567384797634143,0.093
2,charger,NN,8,18,0.4444444444444444,500,0.0009015279095010223,500,1.0,0.0009015279095010223,0.794
3,kit,NN,-3,5,-0.6,126,0.00022718503319425762,157,0.802547770700637,0.00018232684192660167,-0.02
4,Amazon,NNP,-5,11,-0.45454545454545453,838,0.0015109607763237134,1264,0.6629746835443038,0.0010017287425310695,
5,be,VBP,132,1202,0.10981697171381032,38760,0.06988644354451926,87587,0.44253142589653716,0.03092694751259395,
6,quite,RB,-1,3,-0.3333333333333333,273,0.0004922342385875582,588,0.4642857142857143,0.00022853732505850915,
7,happy,JJ,1,3,0.3333333333333333,441,0.0007951476161799017,817,0.5397796817625459,0.0004292045272158343,0.894
8,purchase,NN,-66,362,-0.18232044198895028,1821,0.0032833646464027234,3277,0.5556911809581935,0.0018245367778759107,0.078
9,folding,NN,1,1,1.0,27,4.868250711305521e-05,29,0.9310344827586207,4.5325092829396226e-05,0.705
10,plug,NN,11,21,0.5238095238095238,1106,0.0019941797358162612,1201,0.9208992506244796,0.0018364386243237176,0.792
11,nice,JJ,0,24,0.0,646,0.001164774059075321,1108,0.5830324909747292,0.0006791011210854307,0.123
12,storage,NN,1,1,1.0,118,0.00021276058664224126,158,0.7468354430379747,0.00015889714698597764,0.064
13,include,VBN,1,1,1.0,463,0.0008348148441979467,1299,0.35642802155504233,0.00029755140328225504,0.113
14,mah,NN,1,1,1.0,11,1.983361400902249e-05,11,1.0,1.983361400902249e-05,
15,battery,NNS,9,39,0.23076923076923078,1636,0.0029497993198873453,1645,0.9945288753799392,0.0029336606002040707,0.048
16,last,JJ,-4,12,-0.3333333333333333,830,0.001496536329771697,1453,0.5712319339298004,0.0008548693418516921,0.067
17,long,JJ,2,2,1.0,730,0.0013162307478714926,1383,0.5278380332610267,0.0006947566492741791,0.056
