,Feature,POS,KiC,SiC,PeiC,ZiC,Di_Freq,Sum_Zjc,Di_Uniq,DBDi,SenticNet
0,buy,VBD,-78,468,-0.16666666666666666,3385,0.004934143397722569,7842,0.4316500892629431,0.0021298234380631082,0.093
1,software,NN,-37,145,-0.25517241379310346,5333,0.0077736445317738425,6173,0.8639235379880124,0.006715834486951224,-0.81
2,year,NN,56,120,0.4666666666666667,2929,0.0042694552472465,4414,0.6635704576347984,0.0028330843722666516,-0.74
3,old,JJ,0,6,0.0,1329,0.0019372161227690675,2074,0.6407907425265188,0.0012413501577435346,-0.77
4,have,VBZ,28,1264,0.022151898734177215,20635,0.03007859645849489,37116,0.5559596939325359,0.016722487280985077,0.713
5,couple,NN,-1,1,-1.0,378,0.0005509914931577935,796,0.4748743718592965,0.00026165173921312307,0.067
6,other,JJ,-11,31,-0.3548387096774194,2766,0.004031858386440362,4873,0.5676174840960394,0.002288553313542795,
7,RH,NNP,-2,2,-1.0,8,1.1661195622387164e-05,8,1.0,1.1661195622387164e-05,
8,game,NNS,18,110,0.16363636363636364,2969,0.004327761225358436,3132,0.9479565772669221,0.004102529718419284,-0.86
9,like,VBZ,34,54,0.6296296296296297,1043,0.0015203283792687265,1741,0.5990809879379667,0.0009107998274424364,
10,lot,NN,1,7,0.14285714285714285,1279,0.0018643336501291477,1996,0.6407815631262525,0.001194630630518627,0.056
11,however,RB,-1,1,-1.0,760,0.0011078135841267806,1429,0.5318404478656403,0.0005891800727336272,
12,be,VBD,187,1419,0.13178294573643412,48827,0.07117264983178725,87587,0.5574685741034628,0.039676515616891506,
13,too,RB,-8,20,-0.4,1105,0.001610702645342227,2149,0.5141926477431363,0.0008282114579353936,
14,challenging,JJ,-1,1,-1.0,57,8.308601880950854e-05,61,0.9344262295081968,7.763775528101618e-05,
15,biggest,JJS,2,4,0.5,99,0.00014430729582704115,158,0.6265822784810127,9.042039422074098e-05,0.752
16,problem,NN,-3,9,-0.3333333333333333,2881,0.004199488073512178,5190,0.5551059730250482,0.0023311609132540623,-0.88
17,see,VBP,-2,22,-0.09090909090909091,1425,0.0020771504702377136,2428,0.5869028006589786,0.0012190854283726286,0.061
18,require,VBZ,-2,2,-1.0,454,0.0006617728515704715,701,0.6476462196861626,0.0004285946856105479,0.9
19,child,NN,7,9,0.7777777777777778,526,0.000766723612171956,577,0.9116117850953206,0.0006989542807668091,0.048
20,able,JJ,0,2,0.0,934,0.0013614445889137013,1557,0.5998715478484264,0.0008166918728615267,0.778
21,maneuver,VB,-1,1,-1.0,12,1.7491793433580745e-05,17,0.7058823529411765,1.2347148306056997e-05,-0.69
